scheme,N,R,q_max,B,h,T_fatt,mean_output,mean_loss,pareto
"C(N=378,q=21,B=0,h=35)",378,8,21,0,35,220,1155.74,11.572986301369863,False
"C(N=378,q=21,B=0,h=40)",378,8,21,0,40,210,1229.2199999999998,7.308712328767124,False
"C(N=378,q=21,B=0,h=45)",378,8,21,0,45,200,1216.8799999999999,5.0118904109589035,True
"C(N=378,q=21,B=2,h=35)",378,8,21,2,35,220,1138.06,13.026465753424656,False
"C(N=378,q=21,B=2,h=40)",378,8,21,2,40,210,1197.68,8.766246575342464,False
"C(N=378,q=21,B=2,h=45)",378,8,21,2,45,200,1208.7,7.238410958904109,False
"C(N=378,q=21,B=4,h=35)",378,8,21,4,35,220,1105.52,14.482958904109589,False
"C(N=378,q=21,B=4,h=40)",378,8,21,4,40,210,1131.1399999999999,10.949205479452056,False
"C(N=378,q=21,B=4,h=45)",378,8,21,4,45,200,1187.34,9.166356164383561,False
"C(N=378,q=28,B=0,h=35)",378,8,28,0,35,220,1161.5800000000002,11.151671232876712,False
"C(N=378,q=28,B=0,h=40)",378,8,28,0,40,210,1237.44,7.168164383561643,False
"C(N=378,q=28,B=0,h=45)",378,8,28,0,45,200,1219.52,5.191890410958904,True
"C(N=378,q=28,B=2,h=35)",378,8,28,2,35,220,1139.8400000000001,12.889753424657533,False
"C(N=378,q=28,B=2,h=40)",378,8,28,2,40,210,1193.66,8.725205479452056,False
"C(N=378,q=28,B=2,h=45)",378,8,28,2,45,200,1208.6600000000003,6.975999999999999,False
"C(N=378,q=28,B=4,h=35)",378,8,28,4,35,220,1118.1800000000003,14.448821917808221,False
"C(N=378,q=28,B=4,h=40)",378,8,28,4,40,210,1141.0,10.536767123287671,False
"C(N=378,q=28,B=4,h=45)",378,8,28,4,45,200,1187.36,9.020712328767123,False
"C(N=390,q=21,B=0,h=35)",390,8,21,0,35,220,1166.34,15.188383561643837,False
"C(N=390,q=21,B=0,h=40)",390,8,21,0,40,210,1194.28,10.380109589041094,False
"C(N=390,q=21,B=0,h=45)",390,8,21,0,45,200,1240.4599999999998,7.296054794520548,False
"C(N=390,q=21,B=2,h=35)",390,8,21,2,35,220,1125.36,16.26613698630137,False
"C(N=390,q=21,B=2,h=40)",390,8,21,2,40,210,1132.0800000000002,12.355835616438355,False
"C(N=390,q=21,B=2,h=45)",390,8,21,2,45,200,1228.52,9.372876712328768,False
"C(N=390,q=21,B=4,h=35)",390,8,21,4,35,220,1083.0,16.969643835616438,False
"C(N=390,q=21,B=4,h=40)",390,8,21,4,40,210,1078.8799999999999,13.743452054794522,False
"C(N=390,q=21,B=4,h=45)",390,8,21,4,45,200,1198.3799999999999,10.840109589041095,False
"C(N=390,q=28,B=0,h=35)",390,8,28,0,35,220,1160.56,14.94827397260274,False
"C(N=390,q=28,B=0,h=40)",390,8,28,0,40,210,1193.8400000000001,10.544219178082193,False
"C(N=390,q=28,B=0,h=45)",390,8,28,0,45,200,1241.42,7.148109589041094,True
"C(N=390,q=28,B=2,h=35)",390,8,28,2,35,220,1127.76,15.912493150684933,False
"C(N=390,q=28,B=2,h=40)",390,8,28,2,40,210,1132.2,12.551013698630138,False
"C(N=390,q=28,B=2,h=45)",390,8,28,2,45,200,1233.98,9.078739726027399,False
"C(N=390,q=28,B=4,h=35)",390,8,28,4,35,220,1088.94,16.745753424657533,False
"C(N=390,q=28,B=4,h=40)",390,8,28,4,40,210,1102.16,13.140712328767126,False
"C(N=390,q=28,B=4,h=45)",390,8,28,4,45,200,1201.7800000000002,10.90454794520548,False
"C(N=402,q=21,B=0,h=35)",402,9,21,0,35,220,1126.3200000000002,19.188602739726026,False
"C(N=402,q=21,B=0,h=40)",402,9,21,0,40,210,1119.46,15.743780821917806,False
"C(N=402,q=21,B=0,h=45)",402,9,21,0,45,200,1229.26,11.835287671232877,False
"C(N=402,q=21,B=2,h=35)",402,9,21,2,35,220,1078.4,19.789205479452054,False
"C(N=402,q=21,B=2,h=40)",402,9,21,2,40,210,1084.7199999999998,16.398301369863013,False
"C(N=402,q=21,B=2,h=45)",402,9,21,2,45,200,1174.1799999999998,13.776767123287673,False
"C(N=402,q=21,B=4,h=35)",402,9,21,4,35,220,1049.5,20.055835616438358,False
"C(N=402,q=21,B=4,h=40)",402,9,21,4,40,210,1054.4,17.668547945205482,False
"C(N=402,q=21,B=4,h=45)",402,9,21,4,45,200,1121.9,15.289315068493153,False
"C(N=402,q=28,B=0,h=35)",402,9,28,0,35,220,1121.88,19.013479452054796,False
"C(N=402,q=28,B=0,h=40)",402,9,28,0,40,210,1125.1,15.206904109589042,False
"C(N=402,q=28,B=0,h=45)",402,9,28,0,45,200,1238.8000000000002,11.53441095890411,False
"C(N=402,q=28,B=2,h=35)",402,9,28,2,35,220,1084.96,19.672657534246575,False
"C(N=402,q=28,B=2,h=40)",402,9,28,2,40,210,1087.6200000000001,16.409972602739725,False
"C(N=402,q=28,B=2,h=45)",402,9,28,2,45,200,1178.6,13.524164383561644,False
"C(N=402,q=28,B=4,h=35)",402,9,28,4,35,220,1056.7,20.193863013698632,False
"C(N=402,q=28,B=4,h=40)",402,9,28,4,40,210,1047.42,17.50558904109589,False
"C(N=402,q=28,B=4,h=45)",402,9,28,4,45,200,1134.46,14.807835616438357,False
"C(N=414,q=21,B=0,h=35)",414,9,21,0,35,220,1103.5800000000002,21.537589041095888,False
"C(N=414,q=21,B=0,h=40)",414,9,21,0,40,210,1100.3200000000002,18.501041095890407,False
"C(N=414,q=21,B=0,h=45)",414,9,21,0,45,200,1187.5400000000002,14.930027397260272,False
"C(N=414,q=21,B=2,h=35)",414,9,21,2,35,220,1073.7799999999997,21.972712328767123,False
"C(N=414,q=21,B=2,h=40)",414,9,21,2,40,210,1075.6599999999999,18.866301369863013,False
"C(N=414,q=21,B=2,h=45)",414,9,21,2,45,200,1123.62,16.30909589041096,False
"C(N=414,q=21,B=4,h=35)",414,9,21,4,35,220,1045.94,22.79967123287671,False
"C(N=414,q=21,B=4,h=40)",414,9,21,4,40,210,1047.1399999999999,19.92969863013699,False
"C(N=414,q=21,B=4,h=45)",414,9,21,4,45,200,1067.76,18.091890410958907,False
"C(N=414,q=28,B=0,h=35)",414,9,28,0,35,220,1099.68,21.60745205479452,False
"C(N=414,q=28,B=0,h=40)",414,9,28,0,40,210,1104.8799999999999,18.474520547945204,False
"C(N=414,q=28,B=0,h=45)",414,9,28,0,45,200,1191.6,14.676767123287672,False
"C(N=414,q=28,B=2,h=35)",414,9,28,2,35,220,1076.78,21.856219178082192,False
"C(N=414,q=28,B=2,h=40)",414,9,28,2,40,210,1072.54,19.383780821917806,False
"C(N=414,q=28,B=2,h=45)",414,9,28,2,45,200,1119.84,16.409205479452055,False
"C(N=414,q=28,B=4,h=35)",414,9,28,4,35,220,1045.04,22.382136986301372,False
"C(N=414,q=28,B=4,h=40)",414,9,28,4,40,210,1045.54,20.0881095890411,False
"C(N=414,q=28,B=4,h=45)",414,9,28,4,45,200,1073.52,17.90887671232877,False
"C(N=426,q=21,B=0,h=35)",426,9,21,0,35,220,1097.78,24.360602739726026,False
"C(N=426,q=21,B=0,h=40)",426,9,21,0,40,210,1093.66,21.09271232876712,False
"C(N=426,q=21,B=0,h=45)",426,9,21,0,45,200,1118.76,18.490465753424658,False
"C(N=426,q=21,B=2,h=35)",426,9,21,2,35,220,1074.2599999999998,24.54909589041096,False
"C(N=426,q=21,B=2,h=40)",426,9,21,2,40,210,1065.0800000000004,21.51123287671233,False
"C(N=426,q=21,B=2,h=45)",426,9,21,2,45,200,1077.1200000000001,19.45578082191781,False
"C(N=426,q=21,B=4,h=35)",426,9,21,4,35,220,1046.92,24.895945205479453,False
"C(N=426,q=21,B=4,h=40)",426,9,21,4,40,210,1053.7400000000002,22.653369863013697,False
"C(N=426,q=21,B=4,h=45)",426,9,21,4,45,200,1040.68,20.23572602739726,False
"C(N=426,q=28,B=0,h=35)",426,9,28,0,35,220,1102.62,24.268602739726028,False
"C(N=426,q=28,B=0,h=40)",426,9,28,0,40,210,1091.1200000000001,20.748657534246576,False
"C(N=426,q=28,B=0,h=45)",426,9,28,0,45,200,1121.9600000000003,18.410301369863014,False
"C(N=426,q=28,B=2,h=35)",426,9,28,2,35,220,1075.8200000000002,24.158849315068498,False
"C(N=426,q=28,B=2,h=40)",426,9,28,2,40,210,1066.2400000000002,21.82778082191781,False
"C(N=426,q=28,B=2,h=45)",426,9,28,2,45,200,1075.16,19.65709589041096,False
"C(N=426,q=28,B=4,h=35)",426,9,28,4,35,220,1049.2400000000002,24.597643835616434,False
"C(N=426,q=28,B=4,h=40)",426,9,28,4,40,210,1051.0800000000002,22.481698630136986,False
"C(N=426,q=28,B=4,h=45)",426,9,28,4,45,200,1044.14,20.009643835616437,False
A,426,9,0,0,40,210,1257.1599999999999,24.47194520547945,True
B,378,8,0,0,40,210,1094.3799999999999,3.988657534246576,True
